"AnimalID","Sex","DateofCapture","DateofRecapture","weight","weight2","GroupID","GroupSize","QueenID","GroupSizeRecapture","timediff","rateofbodymassgrowth","CompleteCapture","CompleteRecapture"
"KR1M017","Male",2013-11-22,2014-07-27,51,83,"Kuruman 1",18,"KR1F007",10,247,0.129554656,1,1
"KR1F006","Female",2013-11-18,2014-07-27,92,112,"Kuruman 1",18,"KR1F007",10,251,0.079681275,1,1
"KR1F012","Female",2013-11-20,2014-07-27,81,94,"Kuruman 1",18,"KR1F007",10,249,0.052208835,1,1
"KR1F003","Female",2013-11-18,2014-07-28,62,88,"Kuruman 1",18,"KR1F007",10,252,0.103174603,1,1
"KR1M008","Male",2013-11-18,2014-07-29,52,100,"Kuruman 1",18,"KR1F007",10,253,0.18972332,1,1
"KR1M009","Male",2013-11-18,2014-07-30,163,154,"Kuruman 1",18,"KR1F007",10,254,-0.035433071,1,1
"KR1F003","Female",2014-07-28,2015-02-16,88,107,"Kuruman 1",10,"KR1F007",10,203,0.093596059,1,1
"KR1F006","Female",2014-07-27,2015-02-16,112,127,"Kuruman 1",10,"KR1F007",10,204,0.073529412,1,1
"KR1F018","Female",2014-07-27,2015-02-16,37,86,"Kuruman 1",10,"KR1F007",10,204,0.240196078,1,1
"KR1M017","Male",2014-07-27,2015-02-16,83,114,"Kuruman 1",10,"KR1F007",10,204,0.151960784,1,1
"KR1F012","Female",2014-07-27,2015-02-17,94,115,"Kuruman 1",10,"KR1F007",10,205,0.102439024,1,1
"KR1F019","Female",2014-07-28,2015-02-17,37,87,"Kuruman 1",10,"KR1F007",10,204,0.245098039,1,1
"KR1M009","Male",2014-07-30,2015-02-17,154,169,"Kuruman 1",10,"KR1F007",10,202,0.074257426,1,1
"KR1M008","Male",2014-07-29,2015-02-18,100,140,"Kuruman 1",10,"KR1F007",10,204,0.196078431,1,1
"KR1F003","Female",2015-02-16,2015-10-15,107,146,"Kuruman 1",10,"KR1F007",7,241,0.161825726,1,1
"KR1F019","Female",2015-02-17,2015-10-15,87,127,"Kuruman 1",10,"KR1F007",7,240,0.166666667,1,1
"KR1M008","Male",2015-02-18,2015-10-15,140,162,"Kuruman 1",10,"KR1F007",7,239,0.092050209,1,1
"KR1F018","Female",2015-02-16,2015-10-15,86,144,"Kuruman 1",10,"KR1F007",7,241,0.2406639,1,1
"KR1M009","Male",2015-02-17,2015-10-16,169,172,"Kuruman 1",10,"KR1F007",7,241,0.012448133,1,1
"KR1F006","Female",2015-02-16,2015-10-16,127,156,"Kuruman 1",10,"KR1F007",7,242,0.119834711,1,1
"KR1F003","Female",2015-10-15,2016-04-26,146,144,"Kuruman 1",7,"KR1F007",9,194,-0.010309278,1,1
"KR1M008","Male",2015-10-15,2016-04-27,162,170,"Kuruman 1",7,"KR1F007",9,195,0.041025641,1,1
"KR1M009","Male",2015-10-16,2016-04-27,172,162,"Kuruman 1",7,"KR1F007",9,194,-0.051546392,1,1
"KR1F019","Female",2015-10-15,2016-04-27,127,119,"Kuruman 1",7,"KR1F007",9,195,-0.041025641,1,1
"KR1F006","Female",2015-10-16,2016-04-27,156,162,"Kuruman 1",7,"KR1F007",9,194,0.030927835,1,1
"KR1F018","Female",2015-10-15,2016-04-27,144,148,"Kuruman 1",7,"KR1F007",9,195,0.020512821,1,1
"KR1M009","Male",2017-05-03,2017-10-09,173,165,"Kuruman 1",4,"KR1F007",4,159,-0.050314465,1,1
"KR1F006","Female",2017-05-03,2017-10-09,169,165,"Kuruman 1",4,"KR1F007",4,159,-0.025157233,1,1
"KR1F022","Female",2017-05-03,2017-10-09,78,112,"Kuruman 1",4,"KR1F007",4,159,0.213836478,1,1
"KR1F022","Female",2017-10-09,2018-03-23,112,134,"Kuruman 1",4,"KR1F007",4,165,0.133333333,1,1
"KR1F006","Female",2017-10-09,2018-03-23,165,168,"Kuruman 1",4,"KR1F007",4,165,0.018181818,1,1
"KR1M009","Male",2017-10-09,2018-03-23,165,171,"Kuruman 1",4,"KR1F007",4,165,0.036363636,1,1
"KR10M002","Male",2013-12-01,2014-07-27,45,92,"Kuruman 10",4,"KR10F004",5,238,0.197478992,1,1
"KR10M003","Male",2013-12-02,2014-07-28,142,142,"Kuruman 10",4,"KR10F004",5,238,0,1,1
"KR10F005","Female",2014-07-28,2015-02-16,28,70,"Kuruman 10",5,"KR10F004",5,203,0.206896552,1,1
"KR10M003","Male",2014-07-28,2015-02-16,142,146,"Kuruman 10",5,"KR10F004",5,203,0.019704433,1,1
"KR10M006","Male",2014-07-28,2015-02-16,29,82,"Kuruman 10",5,"KR10F004",5,203,0.261083744,1,1
"KR10M002","Male",2014-07-27,2015-02-17,92,103,"Kuruman 10",5,"KR10F004",5,205,0.053658537,1,1
"KR10M003","Male",2015-02-16,2015-10-07,146,160,"Kuruman 10",5,"KR10F004",5,233,0.060085837,1,1
"KR10M006","Male",2015-02-16,2015-10-07,82,121,"Kuruman 10",5,"KR10F004",5,233,0.167381974,1,1
"KR10F005","Female",2015-02-16,2015-10-08,70,111,"Kuruman 10",5,"KR10F004",5,234,0.175213675,1,1
"KR10M003","Male",2015-10-07,2016-04-26,160,157,"Kuruman 10",5,"KR10F004",10,202,-0.014851485,1,1
"KR10M007","Male",2015-10-07,2016-04-26,57,101,"Kuruman 10",5,"KR10F004",10,202,0.217821782,1,1
"KR10F005","Female",2015-10-08,2016-04-26,111,113,"Kuruman 10",5,"KR10F004",10,201,0.009950249,1,1
"KR10M006","Male",2015-10-07,2016-04-26,121,146,"Kuruman 10",5,"KR10F004",10,202,0.123762376,1,1
"KR10M003","Male",2016-04-26,2017-02-20,157,168,"Kuruman 10",10,"KR10F004",11,300,0.036666667,1,1
"KR10M018","Male",2017-02-21,2017-08-19,48,92,"Kuruman 10",11,"KR10F004",12,179,0.245810056,1,1
"KR10M019","Male",2017-02-22,2017-08-19,92,134,"Kuruman 10",11,"KR10F004",12,178,0.235955056,1,1
"KR10M014","Male",2017-02-20,2017-08-19,102,122,"Kuruman 10",11,"KR10F004",12,180,0.111111111,1,1
"KR10M021","Male",2017-02-23,2017-08-19,75,130,"Kuruman 10",11,"KR10F004",12,177,0.310734463,1,1
"KR10M016","Male",2017-02-21,2017-08-19,93,118,"Kuruman 10",11,"KR10F004",12,179,0.139664804,1,1
"KR10M003","Male",2017-02-20,2017-08-19,168,165,"Kuruman 10",11,"KR10F004",12,180,-0.016666667,1,1
"KR10M020","Male",2017-02-23,2017-08-22,83,123,"Kuruman 10",11,"KR10F004",12,180,0.222222222,1,1
"KR10M021","Male",2017-08-19,2018-03-17,130,177,"Kuruman 10",12,"KR10F004",17,210,0.223809524,1,1
"KR10M003","Male",2017-08-19,2018-03-17,165,170,"Kuruman 10",12,"KR10F004",17,210,0.023809524,1,1
"KR10M019","Male",2017-08-19,2018-03-17,134,174,"Kuruman 10",12,"KR10F004",17,210,0.19047619,1,1
"KR10M014","Male",2017-08-19,2018-03-17,122,150,"Kuruman 10",12,"KR10F004",17,210,0.133333333,1,1
"KR10F024","Female",2017-08-21,2018-03-18,60,97,"Kuruman 10",12,"KR10F004",17,209,0.177033493,1,1
"KR10M018","Male",2017-08-19,2018-03-18,92,143,"Kuruman 10",12,"KR10F004",17,211,0.241706161,1,1
"KR10M020","Male",2017-08-22,2018-03-18,123,170,"Kuruman 10",12,"KR10F004",17,208,0.225961538,1,1
"KR10M023","Male",2017-08-21,2018-03-18,52,113,"Kuruman 10",12,"KR10F004",17,209,0.291866029,1,1
"KR10M016","Male",2017-08-19,2018-03-18,118,147,"Kuruman 10",12,"KR10F004",17,211,0.137440758,1,1
"KR10M025","Male",2017-08-21,2018-03-19,24,84,"Kuruman 10",12,"KR10F004",17,210,0.285714286,1,1
"KR10M014","Male",2018-03-17,2018-10-02,150,141,"Kuruman 10",17,"KR10F004",16,199,-0.045226131,1,0
"KR10M016","Male",2018-03-18,2018-10-03,147,131,"Kuruman 10",17,"KR10F004",16,199,-0.08040201,1,0
"KR10M028","Male",2018-03-17,2018-10-03,100,136,"Kuruman 10",17,"KR10F004",16,200,0.18,1,0
"KR10M003","Male",2018-03-17,2018-10-03,170,162,"Kuruman 10",17,"KR10F004",16,200,-0.04,1,0
"KR10M027","Male",2018-03-19,2018-10-04,59,105,"Kuruman 10",17,"KR10F004",16,199,0.231155779,1,0
"KR10F024","Female",2018-03-18,2018-10-04,97,106,"Kuruman 10",17,"KR10F004",16,200,0.045,1,0
"KR10M023","Male",2018-03-18,2018-10-05,113,140,"Kuruman 10",17,"KR10F004",16,201,0.134328358,1,0
"KR10M029","Male",2018-03-20,2018-10-06,50,91,"Kuruman 10",17,"KR10F004",16,200,0.205,1,0
"KR10M025","Male",2018-03-19,2018-10-06,84,96,"Kuruman 10",17,"KR10F004",16,201,0.059701493,1,0
"KR10M026","Male",2018-03-19,2018-10-07,60,109,"Kuruman 10",17,"KR10F004",16,202,0.242574257,1,0
"KR10M029","Male",2018-10-06,2019-03-12,91,102,"Kuruman 10",16,"KR10F004",20,157,0.070063694,0,0
"KR10M031","Male",2018-10-05,2019-03-12,35,67,"Kuruman 10",16,"KR10F004",20,158,0.202531646,0,0
"KR10M016","Male",2018-10-03,2019-03-13,131,146,"Kuruman 10",16,"KR10F004",20,161,0.093167702,0,0
"KR10M023","Male",2018-10-05,2019-03-13,140,143,"Kuruman 10",16,"KR10F004",20,159,0.018867925,0,0
"KR10M027","Male",2018-10-04,2019-03-13,105,116,"Kuruman 10",16,"KR10F004",20,160,0.06875,0,0
"KR10M033","Male",2018-10-06,2019-03-13,33,77,"Kuruman 10",16,"KR10F004",20,158,0.278481013,0,0
"KR10M026","Male",2018-10-07,2019-03-13,109,111,"Kuruman 10",16,"KR10F004",20,157,0.012738854,0,0
"KR10F024","Female",2018-10-04,2019-03-13,106,111,"Kuruman 10",16,"KR10F004",20,160,0.03125,0,0
"KR10M028","Male",2018-10-03,2019-03-13,136,155,"Kuruman 10",16,"KR10F004",20,161,0.118012422,0,0
"KR10M003","Male",2018-10-03,2019-03-13,162,170,"Kuruman 10",16,"KR10F004",20,161,0.049689441,0,0
"KR10M030","Male",2018-10-04,2019-03-13,58,87,"Kuruman 10",16,"KR10F004",20,160,0.18125,0,0
"KR10M032","Male",2018-10-06,2019-03-13,41,65,"Kuruman 10",16,"KR10F004",20,158,0.151898734,0,0
"KR10M014","Male",2018-10-02,2019-03-14,141,151,"Kuruman 10",16,"KR10F004",20,163,0.061349693,0,0
"KR10M025","Male",2018-10-06,2019-03-14,96,112,"Kuruman 10",16,"KR10F004",20,159,0.100628931,0,0
"KR10F022","Female",2018-10-04,2019-03-16,124,127,"Kuruman 10",16,"KR10F004",20,163,0.018404908,0,0
"KR10M014","Male",2019-03-14,2019-09-09,151,134,"Kuruman 10",20,"KR10F004",19,179,-0.094972067,0,1
"KR10F022","Female",2019-03-16,2019-09-09,127,112,"Kuruman 10",20,"KR10F004",19,177,-0.084745763,0,1
"KR10M028","Male",2019-03-13,2019-09-09,155,141,"Kuruman 10",20,"KR10F004",19,180,-0.077777778,0,1
"KR10M016","Male",2019-03-13,2019-09-09,146,119,"Kuruman 10",20,"KR10F004",19,180,-0.15,0,1
"KR10M023","Male",2019-03-13,2019-09-09,143,124,"Kuruman 10",20,"KR10F004",19,180,-0.105555556,0,1
"KR10M026","Male",2019-03-13,2019-09-09,111,101,"Kuruman 10",20,"KR10F004",19,180,-0.055555556,0,1
"KR10M034","Male",2019-03-16,2019-09-09,30,53,"Kuruman 10",20,"KR10F004",19,177,0.129943503,0,1
"KR10M003","Male",2019-03-13,2019-09-10,170,138,"Kuruman 10",20,"KR10F004",19,181,-0.17679558,0,1
"KR10M031","Male",2019-03-12,2019-09-10,67,86,"Kuruman 10",20,"KR10F004",19,182,0.104395604,0,1
"KR10M030","Male",2019-03-13,2019-09-10,87,77,"Kuruman 10",20,"KR10F004",19,181,-0.055248619,0,1
"KR10M025","Male",2019-03-14,2019-09-10,112,108,"Kuruman 10",20,"KR10F004",19,180,-0.022222222,0,1
"KR10M029","Male",2019-03-12,2019-09-10,102,97,"Kuruman 10",20,"KR10F004",19,182,-0.027472527,0,1
"KR10M027","Male",2019-03-13,2019-09-10,116,113,"Kuruman 10",20,"KR10F004",19,181,-0.016574586,0,1
"KR10M035","Male",2019-03-17,2019-09-10,30,63,"Kuruman 10",20,"KR10F004",19,177,0.186440678,0,1
"KR10M033","Male",2019-03-13,2019-09-10,77,75,"Kuruman 10",20,"KR10F004",19,181,-0.011049724,0,1
"KR10M037","Male",2019-03-14,2019-09-10,66,83,"Kuruman 10",20,"KR10F004",19,180,0.094444444,0,1
"KR10M032","Male",2019-03-13,2019-09-10,65,70,"Kuruman 10",20,"KR10F004",19,181,0.027624309,0,1
"KR10F024","Female",2019-03-13,2019-09-10,111,101,"Kuruman 10",20,"KR10F004",19,181,-0.055248619,0,1
"KR10M003","Male",2019-09-10,2020-03-08,138,146,"Kuruman 10",19,"KR10F004",16,180,0.044444444,1,1
"KR10M035","Male",2019-09-10,2020-03-09,63,92,"Kuruman 10",19,"KR10F004",16,181,0.160220994,1,1
"KR10M027","Male",2019-09-10,2020-03-09,113,126,"Kuruman 10",19,"KR10F004",16,181,0.071823204,1,1
"KR10F022","Female",2019-09-09,2020-03-09,112,130,"Kuruman 10",19,"KR10F004",16,182,0.098901099,1,1
"KR10F024","Female",2019-09-10,2020-03-09,101,120,"Kuruman 10",19,"KR10F004",16,181,0.104972376,1,1
"KR10M031","Male",2019-09-10,2020-03-09,86,109,"Kuruman 10",19,"KR10F004",16,181,0.127071823,1,1
"KR10M029","Male",2019-09-10,2020-03-10,97,107,"Kuruman 10",19,"KR10F004",16,182,0.054945055,1,1
"KR10M028","Male",2019-09-09,2020-03-10,141,157,"Kuruman 10",19,"KR10F004",16,183,0.087431694,1,1
"KR10M032","Male",2019-09-10,2020-03-11,70,87,"Kuruman 10",19,"KR10F004",16,183,0.092896175,1,1
"KR10M034","Male",2019-09-09,2020-03-11,53,83,"Kuruman 10",19,"KR10F004",16,184,0.163043478,1,1
"KR10M033","Male",2019-09-10,2020-03-11,75,101,"Kuruman 10",19,"KR10F004",16,183,0.142076503,1,1
"KR10M025","Male",2019-09-10,2020-03-11,108,121,"Kuruman 10",19,"KR10F004",16,183,0.071038251,1,1
"KR10M014","Male",2019-09-09,2020-03-12,134,145,"Kuruman 10",19,"KR10F004",16,185,0.059459459,1,1
"KR10M023","Male",2019-09-09,2020-03-12,124,144,"Kuruman 10",19,"KR10F004",16,185,0.108108108,1,1
"KR10M026","Male",2019-09-09,2020-03-12,101,113,"Kuruman 10",19,"KR10F004",16,185,0.064864865,1,1
"KR11F003","Female",2017-02-21,2017-08-19,76,116,"Kuruman 11",7,"KR11F001",11,179,0.223463687,1,1
"KR11F002","Female",2017-02-20,2017-08-19,43,94,"Kuruman 11",7,"KR11F001",11,180,0.283333333,1,1
"KR11F006","Female",2017-02-22,2017-08-19,43,92,"Kuruman 11",7,"KR11F001",11,178,0.275280899,1,1
"KR11M004","Male",2017-02-21,2017-08-19,85,115,"Kuruman 11",7,"KR11F001",11,179,0.167597765,1,1
"KR11M004","Male",2017-08-19,2018-03-17,115,164,"Kuruman 11",11,"KR11F001",15,210,0.233333333,1,1
"KR11F006","Female",2017-08-19,2018-03-17,92,112,"Kuruman 11",11,"KR11F001",15,210,0.095238095,1,1
"KR11M009","Male",2017-08-20,2018-03-18,54,122,"Kuruman 11",11,"KR11F001",15,210,0.323809524,1,1
"KR11M010","Male",2017-08-20,2018-03-18,29,105,"Kuruman 11",11,"KR11F001",15,210,0.361904762,1,1
"KR11F007","Female",2017-08-19,2018-03-18,53,98,"Kuruman 11",11,"KR11F001",15,211,0.213270142,1,1
"KR11M011","Male",2017-08-20,2018-03-18,28,92,"Kuruman 11",11,"KR11F001",15,210,0.304761905,1,1
"KR11F002","Female",2017-08-19,2018-03-18,94,119,"Kuruman 11",11,"KR11F001",15,211,0.118483412,1,1
"KR11F008","Female",2017-08-20,2018-03-18,57,107,"Kuruman 11",11,"KR11F001",15,210,0.238095238,1,1
"KR11F003","Female",2017-08-19,2018-03-19,116,133,"Kuruman 11",11,"KR11F001",15,212,0.080188679,1,1
"KR11F006","Female",2018-03-17,2018-10-02,112,137,"Kuruman 11",15,"KR11F001",16,199,0.125628141,1,0
"KR11F015","Female",2018-03-20,2018-10-02,49,91,"Kuruman 11",15,"KR11F001",16,196,0.214285714,1,0
"KR11M012","Female",2018-03-18,2018-10-03,45,89,"Kuruman 11",15,"KR11F001",16,199,0.221105528,1,0
"KR11M011","Male",2018-03-18,2018-10-03,92,117,"Kuruman 11",15,"KR11F001",16,199,0.125628141,1,0
"KR11M009","Male",2018-03-18,2018-10-03,122,152,"Kuruman 11",15,"KR11F001",16,199,0.150753769,1,0
"KR11F002","Female",2018-03-18,2018-10-03,119,119,"Kuruman 11",15,"KR11F001",16,199,0,1,0
"KR11F008","Female",2018-03-18,2018-10-04,107,121,"Kuruman 11",15,"KR11F001",16,200,0.07,1,0
"KR11F007","Female",2018-03-18,2018-10-05,98,123,"Kuruman 11",15,"KR11F001",16,201,0.124378109,1,0
"KR11M004","Male",2018-03-17,2018-10-06,164,170,"Kuruman 11",15,"KR11F001",16,203,0.02955665,1,0
"KR11F008","Female",2018-10-04,2019-03-13,121,122,"Kuruman 11",16,NA,22,160,0.00625,0,0
"KR11F016","Female",2018-10-03,2019-03-13,47,79,"Kuruman 11",16,NA,22,161,0.198757764,0,0
"KR11F007","Female",2018-10-05,2019-03-13,123,128,"Kuruman 11",16,NA,22,159,0.031446541,0,0
"KR11M011","Male",2018-10-03,2019-03-13,117,139,"Kuruman 11",16,NA,22,161,0.136645963,0,0
"KR11M012","Female",2018-10-03,2019-03-13,89,100,"Kuruman 11",16,NA,22,161,0.068322981,0,0
"KR11F006","Female",2018-10-02,2019-03-13,137,142,"Kuruman 11",16,NA,22,162,0.030864198,0,0
"KR11M009","Male",2018-10-03,2019-03-13,152,183,"Kuruman 11",16,NA,22,161,0.192546584,0,0
"KR11F013","Female",2018-10-07,2019-03-13,77,92,"Kuruman 11",16,NA,22,157,0.095541401,0,0
"KR11F019","Female",2018-10-03,2019-03-14,49,80,"Kuruman 11",16,NA,22,162,0.191358025,0,0
"KR11F002","Female",2018-10-03,2019-03-14,119,133,"Kuruman 11",16,NA,22,162,0.086419753,0,0
"KR11M017","Male",2018-10-04,2019-03-14,54,92,"Kuruman 11",16,NA,22,161,0.236024845,0,0
"KR11M004","Male",2018-10-06,2019-03-14,170,178,"Kuruman 11",16,NA,22,159,0.050314465,0,0
"KR11M014","Male",2018-03-20,2019-03-14,48,111,"Kuruman 11",15,"KR11F001",22,359,0.175487465,1,0
"KR11F015","Female",2018-10-02,2019-03-14,91,115,"Kuruman 11",16,NA,22,163,0.147239264,0,0
"KR11F019","Female",2019-03-14,2019-09-23,80,74,"Kuruman 11",22,"KR11F001",20,193,-0.031088083,0,1
"KR11M023","Male",2019-03-14,2019-09-23,50,66,"Kuruman 11",22,"KR11F001",20,193,0.082901554,0,1
"KR11F006","Female",2019-03-13,2019-09-23,142,121,"Kuruman 11",22,"KR11F001",20,194,-0.108247423,0,1
"KR11M017","Male",2019-03-14,2019-09-23,92,87,"Kuruman 11",22,"KR11F001",20,193,-0.025906736,0,1
"KR11F015","Female",2019-03-14,2019-09-24,115,99,"Kuruman 11",22,"KR11F001",20,194,-0.082474227,0,1
"KR11F016","Female",2019-03-13,2019-09-24,79,74,"Kuruman 11",22,"KR11F001",20,195,-0.025641026,0,1
"KR11F021","Female",2019-03-13,2019-09-24,70,70,"Kuruman 11",22,"KR11F001",20,195,0,0,1
"KR11M011","Male",2019-03-13,2019-09-24,139,117,"Kuruman 11",22,"KR11F001",20,195,-0.112820513,0,1
"KR11M009","Male",2019-03-13,2019-09-24,183,137,"Kuruman 11",22,"KR11F001",20,195,-0.235897436,0,1
"KR11F008","Female",2019-03-13,2019-09-25,122,111,"Kuruman 11",22,"KR11F001",20,196,-0.056122449,0,1
"KR11M020","Male",2019-03-13,2019-09-25,79,82,"Kuruman 11",22,"KR11F001",20,196,0.015306122,0,1
"KR11F022","Female",2019-03-14,2019-09-25,55,71,"Kuruman 11",22,"KR11F001",20,195,0.082051282,0,1
"KR11M004","Male",2019-03-14,2019-09-25,178,147,"Kuruman 11",22,"KR11F001",20,195,-0.158974359,0,1
"KR11M014","Male",2019-03-14,2019-09-25,111,101,"Kuruman 11",22,"KR11F001",20,195,-0.051282051,0,1
"KR11M012","Female",2019-03-13,2019-09-25,100,90,"Kuruman 11",22,"KR11F001",20,196,-0.051020408,0,1
"KR11F013","Female",2019-03-13,2019-09-26,92,79,"Kuruman 11",22,"KR11F001",20,197,-0.065989848,0,1
"KR11M010","Male",2019-03-14,2019-09-26,159,133,"Kuruman 11",22,"KR11F001",20,196,-0.132653061,0,1
"KR11M024","Male",2019-03-14,2019-09-27,46,64,"Kuruman 11",22,"KR11F001",20,197,0.091370558,0,1
"KR11M009","Male",2019-09-24,2020-03-30,137,126,"Kuruman 11",20,"KR11F001",17,188,-0.058510638,1,1
"KR11M012","Female",2019-09-25,2020-03-30,90,90,"Kuruman 11",20,"KR11F001",17,187,0,1,1
"KR11M014","Male",2019-09-25,2020-03-30,101,93,"Kuruman 11",20,"KR11F001",17,187,-0.042780749,1,1
"KR11F021","Female",2019-09-24,2020-03-31,70,75,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11M017","Male",2019-09-23,2020-03-31,87,82,"Kuruman 11",20,"KR11F001",17,190,-0.026315789,1,1
"KR11F013","Female",2019-09-26,2020-03-31,79,84,"Kuruman 11",20,"KR11F001",17,187,0.026737968,1,1
"KR11F019","Female",2019-09-23,2020-03-31,74,78,"Kuruman 11",20,"KR11F001",17,190,0.021052632,1,1
"KR11M023","Male",2019-09-23,2020-03-31,66,65,"Kuruman 11",20,"KR11F001",17,190,-0.005263158,1,1
"KR11F015","Female",2019-09-24,2020-03-31,99,104,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11F008","Female",2019-09-25,2020-04-01,111,104,"Kuruman 11",20,"KR11F001",17,189,-0.037037037,1,1
"KR11F022","Female",2019-09-25,2020-04-01,71,76,"Kuruman 11",20,"KR11F001",17,189,0.026455026,1,1
"KR11M010","Male",2019-09-26,2020-04-01,133,132,"Kuruman 11",20,"KR11F001",17,188,-0.005319149,1,1
"KR11F016","Female",2019-09-24,2020-04-01,74,85,"Kuruman 11",20,"KR11F001",17,190,0.057894737,1,1
"KR11M004","Male",2019-09-25,2020-04-01,147,135,"Kuruman 11",20,"KR11F001",17,189,-0.063492063,1,1
"KR11M011","Male",2019-09-24,2020-04-01,117,112,"Kuruman 11",20,"KR11F001",17,190,-0.026315789,1,1
"KR13M005","Male",2014-01-23,2014-08-05,105,139,"Kuruman 13",26,"KR13F013",21,194,0.175257732,1,1
"KR13M008","Male",2014-01-23,2014-08-05,113,136,"Kuruman 13",26,"KR13F013",21,194,0.118556701,1,1
"KR13M022","Male",2014-01-26,2014-08-05,100,121,"Kuruman 13",26,"KR13F013",21,191,0.109947644,1,1
"KR13F006","Female",2014-01-23,2014-08-06,108,105,"Kuruman 13",26,"KR13F013",21,195,-0.015384615,1,1
"KR13F016","Female",2014-01-24,2014-08-06,95,118,"Kuruman 13",26,"KR13F013",21,194,0.118556701,1,1
"KR13F019","Female",2014-01-25,2014-08-06,78,117,"Kuruman 13",26,"KR13F013",21,193,0.202072539,1,1
"KR13F020","Female",2014-01-25,2014-08-06,31,102,"Kuruman 13",26,"KR13F013",21,193,0.367875648,1,1
"KR13F021","Female",2014-01-26,2014-08-06,74,90,"Kuruman 13",26,"KR13F013",21,192,0.083333333,1,1
"KR13M004","Male",2014-01-23,2014-08-06,210,191,"Kuruman 13",26,"KR13F013",21,195,-0.097435897,1,1
"KR13M012","Male",2014-01-24,2014-08-06,104,130,"Kuruman 13",26,"KR13F013",21,194,0.134020619,1,1
"KR13M015","Male",2014-01-24,2014-08-06,89,106,"Kuruman 13",26,"KR13F013",21,194,0.087628866,1,1
"KR13M024","Male",2014-01-27,2014-08-06,33,99,"Kuruman 13",26,"KR13F013",21,191,0.345549738,1,1
"KR13M026","Male",2014-01-28,2014-08-07,35,97,"Kuruman 13",26,"KR13F013",21,191,0.32460733,1,1
"KR13F019","Female",2014-08-06,2015-02-10,117,129,"Kuruman 13",21,"KR13F013",23,188,0.063829787,1,1
